NAME	T	C	geom1	geom2	Proportion	ancestry
Nigeria	0.5648	0.4352	7.985654139	9.544975138	43.52%	YRI
Kenya	0.6111	0.3889	37.79169955	0.595266185	38.89%	LWK
Sierra Leone	0.5176	0.4824	-11.79540638	8.529458936	48.24%	MSL
Puerto Rico	0.6683	0.3317	-66.47925262	18.23778026	33.17%	PUR
Colombia	0.75	0.25	-73.0734149	3.916890092	25.00%	CLM
Peru	0.7235	0.2765	-74.43044721	-9.146796924	27.65%	PEL
Japan	0.7115	0.2885	137.7114031	37.53574509	28.85%	JPT
Vietnam	0.7374	0.2626	106.3329536	16.55531953	26.26%	KHV
Italy	0.757	0.243	12.26869715	42.67073634	24.30%	TSI
Finland	0.7626	0.2374	26.14195114	64.26143452	23.74%	FIN
United Kingdom	0.7418	0.2582	-2.759268663	53.80829909	25.82%	GBR
Spain	0.7617	0.2383	-3.624326269	40.32048996	23.83%	IBS
Pakistan	0.8021	0.1979	69.2349478	29.90811802	19.79%	PJL
Bangladesh	0.7442	0.2558	90.27680368	23.83358802	25.58%	BEB
CHINA1	0.738	0.262	113.3230643	23.14692716	26.20%	CHS
CHINA2	0.82	0.18	116.3863398	39.93083809	18.00%	CHB
USA1	0.727	0.273	-116.5	37.37	27.30%	MXL
USA2	0.566	0.434	-83	39.96	43.40%	ASW
