	logFC	AveExpr	t	P.Value	FDR	B
ADH1C	-3.254774042	10.85380298	19.19098839	1.50E-07	0.00288992	6.427654911
NOX1	-3.016049991	7.435453088	16.23264087	5.00E-07	0.003481827	5.812776682
FGG	-2.530207506	9.502753995	15.33795099	7.51E-07	0.003481827	5.580721616
ADH1A	-3.273684163	10.64999369	15.00121114	8.80E-07	0.003481827	5.486631975
SOCS2	2.385855124	8.83612642	-14.94899734	9.02E-07	0.003481827	5.471690712
PTGS1	-2.154875478	7.780827914	14.22641068	1.29E-06	0.004131876	5.254656237
GLIPR1	2.210374237	10.63150484	-12.6545246	2.95E-06	0.007151653	4.707872803
CYP26B1	-3.182141862	10.30298095	12.64480455	2.97E-06	0.007151653	4.704133784
WNT7B	2.080967977	7.071239769	-12.29141257	3.62E-06	0.007290525	4.564894661
HMOX1	1.942093672	11.44246563	-12.21782481	3.78E-06	0.007290525	4.535073746
NPR3	1.679342144	8.765958682	-11.1347108	7.25E-06	0.012713376	4.060396831
CLDN7	-1.873487505	10.13736318	10.72190085	9.43E-06	0.015166339	3.860300897
LCN2	-1.609936799	9.482509263	10.48696079	1.10E-05	0.016330594	3.741234733
INSIG1	1.67565618	9.509647038	-10.28100546	1.26E-05	0.017400176	3.63361529
GSDMB	-1.452835601	8.502676291	9.92952481	1.61E-05	0.01765432	3.442644424
FGA	-1.742422394	11.44618898	9.916133713	1.62E-05	0.01765432	3.435180511
COL4A2	1.895370549	6.202226804	-9.885045249	1.66E-05	0.01765432	3.417798053
SYT7	-1.707584757	7.872767848	9.822697137	1.73E-05	0.01765432	3.382706844
FGB	-1.709349344	11.01334318	9.701499967	1.88E-05	0.01765432	3.313602746
CDH1	-1.639458498	8.504594372	9.689693526	1.90E-05	0.01765432	3.306807375
FMO5	-1.529137656	9.481386759	9.674059315	1.92E-05	0.01765432	3.297791357
LOC102724560	-1.53126384	8.510616636	9.521478869	2.14E-05	0.018193605	3.208741995
LYVE1	1.998634238	6.662840898	-9.50501922	2.17E-05	0.018193605	3.199019845
TJP3	-1.607737738	8.144903138	9.335566926	2.45E-05	0.019722372	3.097592516
IGFBP3	-1.492933757	11.32478777	9.259236003	2.60E-05	0.020026948	3.051095526
BMF	1.942711989	8.742761676	-9.128096594	2.86E-05	0.021226624	2.970014672
TMPRSS2	-1.720753177	9.643185891	8.974958926	3.21E-05	0.022937649	2.873377948
DLG3	-1.386967514	9.885625618	8.923008651	3.34E-05	0.023009217	2.8401075
PTGS2	-1.533932055	8.841704339	8.712765286	3.93E-05	0.026117612	2.702879899
SLC44A4	-1.599802764	7.635870177	8.659450773	4.09E-05	0.026318282	2.667411236
NUPR1	-1.402320548	11.12490376	8.486172615	4.69E-05	0.028609008	2.550215999
TRIML2	1.931622673	7.646314897	-8.471795963	4.75E-05	0.028609008	2.540358883
SLC28A2	-1.188214962	10.50596564	8.051853009	6.68E-05	0.03902852	2.243086831
ASNS	-1.160096494	9.646256791	7.87671283	7.73E-05	0.043359701	2.113581795
ADH6	-1.813365178	6.98800371	7.847901075	7.92E-05	0.043359701	2.091954816
RAB3B	1.506701996	11.09957088	-7.822968262	8.09E-05	0.043359701	2.073165003
TNXB	1.280981179	7.594901731	-7.672527196	9.20E-05	0.047989962	1.95830662
CAMK2N1	-1.361931873	8.783802864	7.604844819	9.76E-05	0.049548942	1.905791388
CFAP161	1.686391136	6.204859345	-7.553209134	0.000102102	0.050501449	1.865370556
SQLE	1.058440446	11.27827327	-7.404127418	0.000116436	0.054416703	1.746911712
PRDM8	-1.358265125	8.225279757	7.371612483	0.000119853	0.054416703	1.720724614
UBR3	-1.246010501	9.710513711	7.326697311	0.00012476	0.054416703	1.684341188
TMED6	-1.613067789	8.543011111	7.281799415	0.000129891	0.054416703	1.647727406
FLNC	1.409873197	7.257002151	-7.277043146	0.000130448	0.054416703	1.643834332
RAET1L	-1.088094231	8.467461283	7.268744473	0.000131427	0.054416703	1.637035131
PLAT	1.756918857	8.26531554	-7.259290999	0.000132552	0.054416703	1.62927952
KRT80	1.282872867	9.886783975	-7.219426652	0.000137416	0.054416703	1.596454245
CBS	-1.334093864	9.149852233	7.216994896	0.000137719	0.054416703	1.594445548
ANG	-1.05070831	10.75790429	7.208500763	0.000138784	0.054416703	1.587423436
MUC13	-1.185041894	13.05330962	7.187977578	0.000141394	0.054416703	1.570420079
SLC15A1	-1.261787931	8.723164302	7.161687544	0.000144819	0.054416703	1.548562614
UBA7	-1.176110564	7.970346825	7.138167743	0.000147962	0.054416703	1.528935407
FEM1C	1.515858411	6.295344376	-7.109340493	0.000151918	0.054416703	1.50478484
FGFBP1	2.171071903	8.047893304	-7.075834869	0.000156666	0.054416703	1.476583752
ZNF695	-1.066976763	5.893528956	7.051676022	0.000160193	0.054416703	1.456161807
PPARA	-1.10856125	10.7253817	7.045068854	0.000161173	0.054416703	1.450563773
H2BC7	1.055634787	8.92732263	-7.034362258	0.000162775	0.054416703	1.441480671
NAV3	1.324573759	11.03931027	-7.00824084	0.000166759	0.054416703	1.419259007
ALDH3B1	-1.144297515	11.66635984	7.000720808	0.000167926	0.054416703	1.412845543
CAVIN3	1.079882359	9.909348924	-6.966492855	0.000173355	0.054416703	1.383562813
JUNB	1.115372461	8.878639108	-6.960739977	0.000174287	0.054416703	1.378626356
MVD	1.475256575	8.617370565	-6.956966296	0.000174901	0.054416703	1.375385908
TLR1	-1.092299543	10.12488101	6.911505767	0.000182492	0.055877385	1.336204817
SNTB1	-1.260069241	8.002100044	6.880204266	0.000187933	0.056644288	1.309071435
SLC6A16	-1.20206102	8.728169243	6.838641034	0.000195441	0.057448342	1.272845504
BACH2	1.389283737	6.315718432	-6.828297863	0.000197361	0.057448342	1.263795417
CHTF18	1.110682911	6.55604506	-6.816715986	0.000199535	0.057448342	1.253644815
CAVIN2	-1.193500808	9.179265359	6.733823133	0.000215907	0.061247604	1.180478896
PAH	-1.378784888	10.69263694	6.683214724	0.000226637	0.061663549	1.135359754
ERBB3	-1.047590749	9.092940189	6.682274505	0.000226842	0.061663549	1.134518271
AZGP1	-1.519365636	8.578720007	6.681719165	0.000226963	0.061663549	1.134021193
SPANXB1	1.503605259	7.394022428	-6.664083769	0.000230847	0.061847772	1.118214423
SUSD2	-1.10770922	9.508247171	6.644059444	0.000235348	0.062189838	1.100215651
ADAM28	-1.107063874	10.32144772	6.627800353	0.000239074	0.062320857	1.085561404
ADSS1	-1.002427577	8.28184186	6.590795251	0.000247804	0.063735166	1.052075271
TBX19	1.375631956	6.475009232	-6.522391799	0.000264893	0.065009376	0.989684838
CRYL1	-1.121997391	8.923764321	6.521658564	0.000265083	0.065009376	0.989012582
RNASE4	-1.017713204	11.75556598	6.509726399	0.0002682	0.065009376	0.978062347
HOXA3	-0.963893449	10.51149476	6.505716071	0.000269256	0.065009376	0.974377635
RPS6KA6	1.193050037	5.645939122	-6.504381951	0.000269609	0.065009376	0.973151345
TCF7	0.963654239	8.912262374	-6.489149461	0.00027367	0.065174006	0.959132608
TRIM31	-1.251041695	13.32400083	6.471551426	0.000278447	0.065375168	0.942896863
FER1L4	-1.065254507	8.665891894	6.461228901	0.000281293	0.065375168	0.933353447
SERPINB7	1.376110129	6.442278274	-6.43491961	0.000288693	0.065529909	0.908962917
MCFD2	-1.005763338	9.237574954	6.431383357	0.000289704	0.065529909	0.905677217
MSMO1	1.162599497	10.4876303	-6.421446612	0.000292567	0.065529909	0.896435178
MUC20	-1.210016388	9.251099239	6.397503018	0.000299594	0.065529909	0.874108849
C11orf54	-1.211636521	9.1053092	6.37024839	0.000307824	0.065529909	0.848597302
RNFT2	-0.953787494	8.42734514	6.359937519	0.000311003	0.065529909	0.838918631
RASSF4	-1.030828507	7.894708131	6.353895336	0.000312883	0.065529909	0.833239955
GATA2	1.011626998	10.28047186	-6.344266219	0.000315905	0.065529909	0.824179493
CRYAB	1.281726767	6.140519288	-6.343937842	0.000316008	0.065529909	0.823870277
MSH5	-0.945567785	9.298197223	6.329818103	0.0003205	0.065529909	0.810560041
ABCA1	-1.216601129	8.430856945	6.328619656	0.000320885	0.065529909	0.809429003
POU2AF1	-1.055180852	9.59797414	6.316519536	0.000324796	0.065529909	0.797998085
NENF	1.352093378	6.438280602	-6.312458687	0.000326121	0.065529909	0.794157169
